Repository Name,Owner,Description,URL,Programming Language,Creation Date,Last Updated Date,Number of Stars,Number of Forks,Number of Open Issues,License Type,Topic
kong,Kong,🦍 The Cloud-Native API Gateway and AI Gateway.,https://github.com/Kong/kong,Lua,2014-11-17T23:56:08Z,2024-10-09T18:28:44Z,39020,4786,135,Apache License 2.0,ai
ColossalAI,hpcaitech,"Making large AI models cheaper, faster and more accessible",https://github.com/hpcaitech/ColossalAI,Python,2021-10-28T16:19:44Z,2024-10-09T16:19:37Z,38711,4339,435,Apache License 2.0,ai
Deep-Live-Cam,hacksider,real time face swap and one-click video deepfake with only a single image,https://github.com/hacksider/Deep-Live-Cam,Python,2023-09-24T13:19:31Z,2024-10-09T19:23:31Z,37978,5440,256,GNU Affero General Public License v3.0,ai
ClickHouse,ClickHouse,ClickHouse® is a real-time analytics DBMS,https://github.com/ClickHouse/ClickHouse,C++,2016-06-02T08:28:18Z,2024-10-09T19:03:20Z,37048,6835,3840,Apache License 2.0,ai
Open-Assistant,LAION-AI,"OpenAssistant is a chat-based assistant that understands tasks, can interact with third-party systems, and retrieve information dynamically to do so.",https://github.com/LAION-AI/Open-Assistant,Python,2022-12-13T05:24:17Z,2024-10-09T13:10:50Z,36998,3226,290,Apache License 2.0,ai
quivr,QuivrHQ,"Open-source RAG Framework for building GenAI Second Brains 🧠  Build productivity assistant (RAG) ⚡️🤖 Chat with your docs (PDF, CSV, ...)  & apps using Langchain, GPT 3.5 / 4 turbo, Private, Anthropic, VertexAI, Ollama, LLMs, Groq  that you can share with users !  Efficient retrieval augmented generation framework",https://github.com/QuivrHQ/quivr,Python,2023-05-12T23:53:30Z,2024-10-09T14:54:14Z,36236,3523,139,Other,ai
MockingBird,babysor,🚀AI拟声: 5秒内克隆您的声音并生成任意语音内容 Clone a voice in 5 seconds to generate arbitrary speech in real-time,https://github.com/babysor/MockingBird,Python,2021-08-07T03:53:39Z,2024-10-09T18:03:48Z,35059,5195,469,Other,ai
photoprism,photoprism,AI-Powered Photos App for the Decentralized Web 🌈💎✨,https://github.com/photoprism/photoprism,Go,2018-01-27T12:00:15Z,2024-10-09T15:41:00Z,34967,1918,470,Other,ai
AI-For-Beginners,microsoft,"12 Weeks, 24 Lessons, AI for All!",https://github.com/microsoft/AI-For-Beginners,Jupyter Notebook,2021-03-03T16:27:36Z,2024-10-09T17:56:24Z,34380,5747,57,MIT License,ai
google-research,google-research,Google Research,https://github.com/google-research/google-research,Jupyter Notebook,2018-10-04T18:42:48Z,2024-10-09T15:14:49Z,34019,7852,1478,Apache License 2.0,ai
gold-miner,xitu,🥇掘金翻译计划，可能是世界最大最好的英译中技术社区，最懂读者和译者的翻译平台：,https://github.com/xitu/gold-miner,,2015-11-04T03:29:13Z,2024-10-09T09:57:20Z,33710,5023,7,No License,ai
GitHubDaily,GitHubDaily,"坚持分享 GitHub 上高质量、有趣实用的开源技术教程、开发者工具、编程网站、技术资讯。A list cool, interesting projects of GitHub.",https://github.com/GitHubDaily/GitHubDaily,,2018-12-30T13:56:58Z,2024-10-09T17:36:19Z,32141,3536,279,No License,ai
LLaMA-Factory,hiyouga,Unified Efficient Fine-Tuning of 100+ LLMs (ACL 2024),https://github.com/hiyouga/LLaMA-Factory,Python,2023-05-28T10:09:12Z,2024-10-09T19:09:10Z,32083,3931,202,Apache License 2.0,ai
gpt-pilot,Pythagora-io,The first real AI developer,https://github.com/Pythagora-io/gpt-pilot,Python,2023-08-16T11:56:07Z,2024-10-09T18:40:11Z,31124,3125,234,Other,ai
upscayl,upscayl,"🆙 Upscayl - #1 Free and Open Source AI Image Upscaler for Linux, MacOS and Windows.",https://github.com/upscayl/upscayl,TypeScript,2022-07-30T17:19:20Z,2024-10-09T19:04:50Z,30366,1384,36,GNU Affero General Public License v3.0,ai
chatgpt-on-wechat,zhayujie,基于大模型搭建的聊天机器人，同时支持 微信公众号、企业微信应用、飞书、钉钉 等接入，可选择GPT3.5/GPT-4o/GPT-o1/ Claude/文心一言/讯飞星火/通义千问/ Gemini/GLM-4/Claude/Kimi/LinkAI，能处理文本、语音和图片，访问操作系统和互联网，支持基于自有知识库进行定制企业智能客服。,https://github.com/zhayujie/chatgpt-on-wechat,Python,2022-08-07T08:33:41Z,2024-10-09T16:57:57Z,30365,7973,306,MIT License,ai
spaCy,explosion,💫 Industrial-strength Natural Language Processing (NLP) in Python,https://github.com/explosion/spaCy,Python,2014-07-03T15:15:40Z,2024-10-09T19:11:48Z,29807,4370,147,MIT License,ai
AI-Expert-Roadmap,AMAI-GmbH,Roadmap to becoming an Artificial Intelligence Expert in 2022,https://github.com/AMAI-GmbH/AI-Expert-Roadmap,JavaScript,2020-10-24T21:49:40Z,2024-10-09T16:15:24Z,29070,2473,20,MIT License,ai
Mr.-Ranedeer-AI-Tutor,JushBJJ,A GPT-4 AI Tutor Prompt for customizable personalized learning experiences.,https://github.com/JushBJJ/Mr.-Ranedeer-AI-Tutor,,2023-03-31T12:37:26Z,2024-10-09T14:08:02Z,28624,3291,14,No License,ai
roop,s0md3v,one-click face swap,https://github.com/s0md3v/roop,Python,2023-05-28T14:37:54Z,2024-10-09T17:55:51Z,28245,6837,9,GNU General Public License v3.0,ai
pytorch-lightning,Lightning-AI,"Pretrain, finetune and deploy AI models on multiple GPUs, TPUs with zero code changes.",https://github.com/Lightning-AI/pytorch-lightning,Python,2019-03-31T00:45:57Z,2024-10-09T15:20:26Z,28133,3370,846,Apache License 2.0,ai
datahub,datopian,🌀 Rapidly build rich data portals using a modern frontend framework,https://github.com/datopian/datahub,TypeScript,2011-10-14T21:44:30Z,2024-10-09T14:46:14Z,2196,327,83,MIT License,data-fabric
data-management-zone,Azure,Template to deploy the Data Management Zone of Cloud Scale Analytics (former Enterprise-Scale Analytics). The Data Management Zone provides data governance and management capabilities for the data platform of an organization.,https://github.com/Azure/data-management-zone,Bicep,2020-08-07T13:20:46Z,2024-08-12T03:56:26Z,169,89,34,MIT License,data-fabric
data-landing-zone,Azure,Template to deploy a single Data Landing Zone of the Data Management & Analytics Scenario (former Enterprise-Scale Analytics). The Data Landing Zone is a logical construct and a unit of scale in the architecture that enables data retention and execution of data workloads for generating insights and value with data.,https://github.com/Azure/data-landing-zone,Bicep,2020-08-07T13:14:11Z,2024-09-17T14:14:29Z,165,68,17,MIT License,data-fabric
data-product-analytics,Azure,Template to deploy a Data Product for analytics and data science use-cases into a Data Landing Zone of the Data Management & Analytics Scenario (former Enterprise-Scale Analytics). The Data Product template can be used by cross-functional teams to create insights and products for external users.,https://github.com/Azure/data-product-analytics,Bicep,2020-08-12T12:32:05Z,2024-08-13T07:21:10Z,74,25,7,MIT License,data-fabric
odm-specification-dpdescriptor,opendatamesh-initiative,The Data Product Descriptor Specification (DPDS) Repository,https://github.com/opendatamesh-initiative/odm-specification-dpdescriptor,HTML,2022-11-04T08:38:06Z,2024-09-21T02:57:55Z,67,2,12,Apache License 2.0,data-fabric
data-product-batch,Azure,"Template to deploy a Data Product for Batch data processing into a Data Landing Zone of the Data Management & Analytics Scenario (former Enterprise-Scale Analytics). The Data Product template can be used by cross-functional teams to ingest, provide and create new data assets within the platform.",https://github.com/Azure/data-product-batch,Bicep,2020-09-10T11:54:30Z,2024-10-05T04:33:01Z,38,22,5,MIT License,data-fabric
data-product-streaming,Azure,"Template to deploy a Data Product for data stream processing into a Data Landing Zone of the Data Management & Analytics Scenario (former Enterprise-Scale Analytics). The Data Product template can be used by cross-functional teams to ingest, provide and create new data assets within the platform.",https://github.com/Azure/data-product-streaming,Bicep,2020-09-07T11:58:24Z,2024-07-18T10:25:23Z,36,14,5,MIT License,data-fabric
guidance-for-digital-thread-using-graph-and-generative-ai-on-aws,aws-solutions-library-samples,"This Guidance demonstrates how to create an intelligent manufacturing digital thread through a combination of knowledge graph and generative artificial intelligence (AI) technologies. A digital thread offers an integrated approach to combine disparate data sources across enterprise systems, increasing traceability, accessibility, collaboration.",https://github.com/aws-solutions-library-samples/guidance-for-digital-thread-using-graph-and-generative-ai-on-aws,Python,2024-02-22T23:30:54Z,2024-10-08T19:45:51Z,15,6,3,MIT No Attribution,data-fabric
odm-platform,opendatamesh-initiative,A platform to manage the data product life cycle,https://github.com/opendatamesh-initiative/odm-platform,HTML,2023-05-01T17:14:49Z,2024-09-06T23:13:11Z,11,3,7,Apache License 2.0,data-fabric
ms-data-fabric,wx-chevalier,"Data Fabric,  OLAP Browser & BI tools, building APIs visually. APIs for cross-database querying, flow-based business process management etc.",https://github.com/wx-chevalier/ms-data-fabric,Java,2018-12-26T07:07:51Z,2023-04-15T15:06:03Z,4,1,33,No License,data-fabric
xoom-symbio-geode,vlingo,"The VLINGO XOOM platform SDK implementation of XOOM SYMBIO for Apache Geode, providing reactive storage for services and applications.",https://github.com/vlingo/xoom-symbio-geode,Java,2018-10-18T15:13:46Z,2021-11-03T16:05:27Z,3,2,5,Mozilla Public License 2.0,data-fabric
